Prospect Name,Position,Overall Rank,Stat Score,Combine Score,SOS,College
Travis Hunter,WR / CB,1,182.58,0,0.800,Colorado
Abdul Carter,DE,2,154.5,0,0.785,Penn State
Mason Graham,DT,3,143,0,0.985,Michigan
WIll Campbell,OT,4,100,40,0.911,LSU
Ashton Jeanty,RB,5,197.9,0,0.385,Boise State
Cam Ward,QB,6,172.2,0,0.548,Miami
Tetairoa McMillan,WR,7,110.6,0,0.593,Arizona
Shedeur Sanders,QB,8,168.2,0,0.800,Colorado
Armand Membou,OT,9,100,80,0.622,Missouri
Tyler Warren,TE,10,90.85,0,0.785,Penn State
Will Johnson,CB,11,67.5,0,0.985,Michigan
Jalon Walker,LB,12,118.5,0,0.956,Georgia
Shemar Stewart,DE,13,100.5,60,0.674,Texas A&M
Kelvin Banks Jr.,OT,14,100,0,0.837,Texas
Mykel Williams,DE,15,82,0,0.956,Georgia
Mike Green,DE,16,269,20,0.311,Marshall
Colston Loveland,TE,17,58.7,0,0.985,Michigan
Kenneth Grant,DT,18,112,0,0.985,Michigan
James Pearce Jr.,DE,19,121,0,0.644,Tennessee
Josh Simmons,OT,20,100,0,0.807,Ohio State
Walter Nolen,DT,21,147,0,0.778,Ole Miss
Matthew Golden,WR,22,62.3,20,0.837,Texas
Jahdae Barron,CB,23,111.5,-20,0.837,Texas
Jihaad Campbell,LB,24,240,40,0.948,Alabama
Emeka Egbuka,WR,25,65.9,0,0.807,Ohio State
Malakai Starks,S,26,118,-60,0.956,Georgia
Omarion Hampton,RB,27,170.9,40,0.496,North Carolina
Derrick Harmon,DT,28,131.5,0,0.941,Oregon
Nick Emmanwori,S,29,150,60,0.852,South Carolina
Tyler Booker,OG,30,100,-80,0.948,Alabama
Luther Burden III,WR,31,66.4,20,0.622,Missouri
Grey Zabel,OT,32,100,20,0.081,North Dakota State
John Conerly Jr.,OT,33,100,0,0.941,Oregon
Donovan Ezeiruaku,DE,34,278,20,0.585,Boston College
Nic Scourton,DE,35,125.5,0,0.674,Texas A&M
Shavon Revel Jr.,CB,36,118,0,0.044,East Carolina
Donovan Jackson,OG,37,100,20,0.807,Ohio State
Maxwell Hairston,CB,38,92.5,60,0.919,Kentucky
Jaxson Dart,QB,39,180.7,0,0.778,Ole Miss
Aireontae Ersery,OT,40,100,40,0.711,Minnesota
TreVeyon Henderson,RB,41,164,60,0.807,Ohio State
Benjamin Morrison,CB,42,83.5,0,0.830,Notre Dame
Tyleik Williams,DT,43,130,0,0.807,Ohio State
Landon Jackson,DE,44,165.5,40,0.874,Arkansas
Kaleb Johnson,RB,45,145.8,-20,0.793,Iowa
Azareye'h Thomas,CB,46,96.5,-20,0.756,Florida State
Darius Alexander,DT,47,131.5,20,0.081,Toledo
Alfred Collins,DT,48,133.5,-40,0.837,Texas
J.T. Tuimoloau,DE,49,160,0,0.807,Ohio State
Jack Sawyer,DE,50,159.5,0,0.807,Ohio State
T.J. Sanders,DT,51,150,0,0.852,South Carolina
Trey Amos,CB,52,110,-20,0.778,Ole Miss
Jonah Savaiinaea,OT,53,100,40,0.593,Arizona
Xaview Watts,S,54,132,0,0.830,Notre Dame
Jayden Higgins,WR,55,91.7,40,0.835,Iowa State
Tre Harris,WR,56,129.7,0,0.778,Ole Miss
Quinshon Judkins,RB,57,154.8,40,0.807,Ohio State
Princely Umanmielen,DE,58,135.5,20,0.778,Ole Miss
Elic Ayomanor,WR,59,69.8,20,0.667,Stanford
Tate Ratledge,OG,60,100,60,0.956,Georgia
Cameron Williams,OT,61,100,20,0.837,Texas
Harold Fannin Jr.,TE,62,125.4,20,0.319,Bowling Green
Jalen Milroe,QB,63,148.8,0,0.948,Alabama
Wyatt Milum,OT,64,100,-40,0.889,West Virginia
Jared Ivey,DE,65,149,0,0.778,Ole Miss
Quinn Ewers,QB,66,149,0,0.837,Texas
